idx,year,race,location,type_simple,DemPredFinal,RepPredFinal,DemShareAct,RepShareAct
200,2006,2006_Gov-G_AR,AR,Gov-G,0.5558498422471636,0.44415015775283634,0.5742471443406023,0.42575285565939774
201,2006,2006_Gov-G_AZ,AZ,Gov-G,0.6194832689528582,0.38051673104714173,0.6387755102040816,0.36122448979591837
202,2006,2006_Gov-G_CA,CA,Gov-G,0.42158976639749046,0.5784102336025095,0.410958904109589,0.5890410958904109
203,2006,2006_Gov-G_CO,CO,Gov-G,0.5921387245402777,0.4078612754597223,0.5864197530864197,0.41358024691358025
204,2006,2006_Gov-G_CT,CT,Gov-G,0.3660747135106787,0.6339252864893213,0.3596757852077001,0.6403242147923
205,2006,2006_Gov-G_FL,FL,Gov-G,0.46026151574488117,0.5397384842551188,0.4635149023638232,0.5364850976361767
206,2006,2006_Gov-G_GA,GA,Gov-G,0.41690897588473413,0.5830910241152658,0.3975026014568159,0.6024973985431842
207,2006,2006_Gov-G_IA,IA,Gov-G,0.5352069942506497,0.46479300574935034,0.5476673427991887,0.4523326572008114
208,2006,2006_Gov-G_ID,ID,Gov-G,0.5159004838095929,0.4840995161904072,0.45557851239669417,0.5444214876033058
209,2006,2006_Gov-G_IL,IL,Gov-G,0.5664004222326025,0.43359957776739755,0.5589225589225589,0.44107744107744107
210,2006,2006_Gov-G_KS,KS,Gov-G,0.5906338678738516,0.4093661321261483,0.5879959308240081,0.41200406917599186
211,2006,2006_Gov-G_MA,MA,Gov-G,0.6438000520411532,0.35619994795884674,0.6116611661166116,0.3883388338833883
212,2006,2006_Gov-G_MD,MD,Gov-G,0.5137783088082342,0.48622169119176595,0.5328614762386249,0.4671385237613751
213,2006,2006_Gov-G_ME,ME,Gov-G,0.5642531418066622,0.43574685819333786,0.5563689604685212,0.4436310395314788
214,2006,2006_Gov-G_MI,MI,Gov-G,0.5494151840455148,0.45058481595448513,0.5709939148073022,0.4290060851926978
215,2006,2006_Gov-G_MN,MN,Gov-G,0.5167171900007179,0.48328280999928197,0.4945887445887446,0.5054112554112554
216,2006,2006_Gov-G_NH,NH,Gov-G,0.7779384853913354,0.22206151460866458,0.735,0.265
217,2006,2006_Gov-G_NV,NV,Gov-G,0.47700188046075,0.52299811953925,0.4782135076252723,0.5217864923747276
218,2006,2006_Gov-G_NY,NY,Gov-G,0.7355737558850055,0.26442624411499455,0.7026476578411405,0.2973523421588595
219,2006,2006_Gov-G_OH,OH,Gov-G,0.6213845564666653,0.37861544353333454,0.6213991769547326,0.3786008230452675
220,2006,2006_Gov-G_OK,OK,Gov-G,0.6857279966073511,0.3142720033926489,0.665,0.335
221,2006,2006_Gov-G_OR,OR,Gov-G,0.5349873985277211,0.4650126014722788,0.5433155080213904,0.45668449197860966
222,2006,2006_Gov-G_PA,PA,Gov-G,0.6164695522746693,0.38353044772533074,0.604,0.396
223,2006,2006_Gov-G_RI,RI,Gov-G,0.44911644187672933,0.5508835581232706,0.49,0.51
